example_id,open_date,open_time,close_time,side,entry_price,exit_price,net_pnl,setup_valid_normalized,quality_bucket,primary_valid_reason,primary_invalid_reason,entry_timestamp_raw,entry_anchor_timestamp,exit_anchor_timestamp,matched_to_bar_data,bars_in_window
trade-example-0076,2025-03-19,09:41:30 EDT,09:47:00 EDT,short,19761.0,19783.5,-454.0,yes,valid,,,2025-03-19T09:41:30-04:00,2025-03-19T09:41:30-04:00,2025-03-19T09:47:00-04:00,True,37
trade-example-0077,2025-03-21,09:35:30 EDT,09:43:00 EDT,short,19645.25,19694.75,-994.0,yes,valid,,,2025-03-21T09:35:30-04:00,,,False,0
trade-example-0078,2025-03-21,09:54:30 EDT,10:12:00 EDT,long,19723.5,19669.25,-1089.0,yes,valid,,,2025-03-21T09:54:30-04:00,,,False,0
trade-example-0079,2025-03-24,09:45:30 EDT,10:05:00 EDT,long,20272.5,20315.0,846.0,yes,valid,,,2025-03-24T09:45:30-04:00,2025-03-24T09:45:30-04:00,2025-03-24T10:05:00-04:00,True,37
trade-example-0080,2025-03-25,10:10:30 EDT,10:58:00 EDT,long,20417.5,20468.75,1021.0,yes,valid,,,2025-03-25T10:10:30-04:00,2025-03-25T10:10:30-04:00,2025-03-25T10:58:00-04:00,True,37
trade-example-0081,2025-03-26,09:38:00 EDT,09:43:00 EDT,long,20456.0,20438.75,-349.0,yes,valid,,,2025-03-26T09:38:00-04:00,2025-03-26T09:38:00-04:00,2025-03-26T09:43:00-04:00,True,37
trade-example-0082,2025-03-26,09:46:30 EDT,10:28:00 EDT,short,20426.5,20276.75,2991.0,yes,valid,,,2025-03-26T09:46:30-04:00,2025-03-26T09:46:30-04:00,2025-03-26T10:28:00-04:00,True,37
trade-example-0083,2025-03-27,09:35:30 EDT,09:50:00 EDT,short,19976.75,20015.75,-784.0,yes,valid,,,2025-03-27T09:35:30-04:00,2025-03-27T09:35:30-04:00,2025-03-27T09:50:00-04:00,True,36
trade-example-0084,2025-03-27,10:13:00 EDT,11:08:00 EDT,long,20064.5,20176.5,2236.0,yes,valid,,,2025-03-27T10:13:00-04:00,2025-03-27T10:13:00-04:00,2025-03-27T11:08:00-04:00,True,37
trade-example-0085,2025-03-28,09:55:30 EDT,14:11:29 EDT,short,19861.75,19503.25,7166.0,yes,valid,,,2025-03-28T09:55:30-04:00,2025-03-28T09:55:30-04:00,2025-03-28T11:30:00-04:00,True,37
trade-example-0086,2025-04-01,10:10:59 EDT,10:22:30 EDT,short,19330.5,19300.0,606.0,yes,valid,,,2025-04-01T10:10:59-04:00,2025-04-01T10:10:30-04:00,2025-04-01T10:22:30-04:00,True,37
trade-example-0087,2025-04-03,09:38:00 EDT,09:44:00 EDT,long,19024.25,18963.75,-1214.0,yes,valid,,,2025-04-03T09:38:00-04:00,2025-04-03T09:38:00-04:00,2025-04-03T09:44:00-04:00,True,37
trade-example-0088,2025-04-03,10:10:00 EDT,11:12:00 EDT,short,18909.5,18800.0,2186.0,yes,valid,,,2025-04-03T10:10:00-04:00,2025-04-03T10:10:00-04:00,2025-04-03T11:12:00-04:00,True,37
trade-example-0089,2025-04-04,09:35:30 EDT,09:45:30 EDT,short,18121.5,18031.25,1801.0,yes,valid,,,2025-04-04T09:35:30-04:00,2025-04-04T09:35:30-04:00,2025-04-04T09:45:30-04:00,True,36
trade-example-0090,2025-04-04,10:06:30 EDT,10:52:30 EDT,short,18107.5,17779.25,6561.0,yes,valid,,,2025-04-04T10:06:30-04:00,2025-04-04T10:06:30-04:00,2025-04-04T10:52:30-04:00,True,37
trade-example-0091,2025-04-07,09:34:30 EDT,09:45:00 EDT,short,16871.75,16755.25,2326.0,yes,valid,,,2025-04-07T09:34:30-04:00,2025-04-07T09:34:30-04:00,2025-04-07T09:45:00-04:00,True,34
trade-example-0092,2025-04-07,09:50:30 EDT,10:08:00 EDT,long,16974.5,17231.25,5131.0,yes,valid,,,2025-04-07T09:50:30-04:00,2025-04-07T09:50:30-04:00,2025-04-07T10:08:00-04:00,True,37
trade-example-0093,2025-04-08,09:36:00 EDT,09:46:00 EDT,short,18123.75,18177.25,-1074.0,yes,valid,,,2025-04-08T09:36:00-04:00,2025-04-08T09:36:00-04:00,2025-04-08T09:46:00-04:00,True,37
trade-example-0094,2025-04-08,09:58:00 EDT,10:10:30 EDT,long,18230.0,18291.0,1216.0,yes,valid,,,2025-04-08T09:58:00-04:00,2025-04-08T09:58:00-04:00,2025-04-08T10:10:30-04:00,True,37
trade-example-0095,2025-04-09,09:39:00 EDT,10:04:30 EDT,long,17374.75,17508.75,2676.0,yes,valid,,,2025-04-09T09:39:00-04:00,2025-04-09T09:39:00-04:00,2025-04-09T10:04:30-04:00,True,37
trade-example-0096,2025-04-10,09:42:00 EDT,09:47:00 EDT,short,18731.75,18787.25,-1114.0,yes,valid,,,2025-04-10T09:42:00-04:00,2025-04-10T09:42:00-04:00,2025-04-10T09:47:00-04:00,True,37
trade-example-0097,2025-04-10,09:54:30 EDT,10:14:00 EDT,short,18749.5,18642.0,2146.0,yes,valid,,,2025-04-10T09:54:30-04:00,2025-04-10T09:54:30-04:00,2025-04-10T10:14:00-04:00,True,37
trade-example-0098,2025-04-11,09:32:00 EDT,09:40:00 EDT,short,18398.0,18507.5,-2194.0,yes,valid,,,2025-04-11T09:32:00-04:00,2025-04-11T09:32:00-04:00,2025-04-11T09:40:00-04:00,True,29
trade-example-0099,2025-04-11,09:43:00 EDT,09:58:00 EDT,long,18500.5,18592.5,1836.0,yes,valid,,,2025-04-11T09:43:00-04:00,2025-04-11T09:43:00-04:00,2025-04-11T09:58:00-04:00,True,37
trade-example-0100,2025-04-14,09:33:30 EDT,09:49:00 EDT,short,19199.5,19055.5,2876.0,yes,valid,,,2025-04-14T09:33:30-04:00,2025-04-14T09:33:30-04:00,2025-04-14T09:49:00-04:00,True,32
trade-example-0101,2025-04-15,09:31:29 EDT,09:58:29 EDT,long,18986.75,19076.25,1786.0,yes,valid,,,2025-04-15T09:31:29-04:00,2025-04-15T09:31:00-04:00,2025-04-15T09:58:00-04:00,True,27
